lower,upper
9.1,11.1
9,11
9,11
8.8,10.8
8.7,10.7
8.9,10.9
8.8,10.8
9.1,11.1
7.9,9.9
8.7,10.7
8.9,10.9
9.1,11.1
9.2,11.2
9.2,11.2
8.5,10.5
8.9,10.9
9.3,11.3
8.3,10.3
9.1,11.1
7.7,9.7
9.1,11.1
9.3,11.3
8.8,10.8
9.2,11.2
10,12
8.3,10.3
9.3,11.3
9.3,11.3
8.7,10.7
9.2,11.2
9.2,11.2
8.7,10.7
8.4,10.4
9.1,11.1
9.1,11.1
9.5,11.5
9.5,11.5
9,11
9.6,11.6
8.2,10.2
8.6,10.6
8.5,10.5
9.6,11.6
8.8,10.8
9.1,11.1
7.7,9.7
9.4,11.4
9.2,11.2
9.2,11.2
8.9,10.9
9.1,11.1
8.9,10.9
9.9,11.9
9.5,11.5
8.5,10.5
9.5,11.5
8.9,10.9
10.2,12.2
9.6,11.6
10,12
9.4,11.4
9.8,11.8
9.6,11.6
8,10
8.6,10.6
8.9,10.9
9.1,11.1
8.5,10.5
8.9,10.9
9.1,11.1
8.5,10.5
8.5,10.5
9.3,11.3
7.9,9.9
8.6,10.6
9.8,11.8
9.4,11.4
9.3,11.3
8.1,10.1
9,11
9,11
8.4,10.4
10,12
9.2,11.2
9.7,11.7
8,10
8.8,10.8
9.8,11.8
9,11
8.9,10.9
9.4,11.4
8.5,10.5
10.3,12.3
9,11
9.3,11.3
8.7,10.7
8.7,10.7
9.2,11.2
8.8,10.8
9.3,11.3
